,latitude,longitude,acq_date,acq_time,confidence,fire_temperature
286,-14.0453,131.4964,8/1/2019,524,66,51.05
300,-14.6748,126.7174,8/1/2019,524,54,55.75
319,-11.4433,130.487,8/1/2019,525,92,71.05
370,-14.8038,144.3157,8/1/2019,1311,75,35.45
64,-16.1501,136.6857,8/1/2019,58,92,71.95
236,-16.0754,125.9155,8/1/2019,524,75,58.15
119,-32.7107,147.0208,8/1/2019,341,64,36.65
272,-14.6781,130.5841,8/1/2019,524,75,58.35
351,-11.6488,130.3576,8/1/2019,525,93,72.65
107,-34.5719,118.5483,8/1/2019,241,64,33.35
69,-15.1657,129.9294,8/1/2019,58,64,42.15
126,-30.9441,147.7144,8/1/2019,341,64,42.75
347,-11.6677,130.3996,8/1/2019,525,93,73.65
290,-13.9821,131.244,8/1/2019,524,93,74.55
299,-14.6732,126.7275,8/1/2019,524,93,74.75
282,-14.2568,130.7132,8/1/2019,524,54,52.05
384,-11.4598,130.5282,8/1/2019,1312,82,40.35
90,-14.6846,126.7765,8/1/2019,236,93,71.75
164,-14.9436,144.8472,8/1/2019,346,63,54.55
203,-15.5139,130.5452,8/1/2019,524,63,55.05
184,-26.1473,129.3442,8/1/2019,521,63,44.25
76,-14.0156,131.5979,8/1/2019,58,63,41.85
136,-24.6578,151.3869,8/1/2019,343,82,50.85
51,-15.7699,137.046,8/1/2019,58,93,72.65
267,-15.0649,130.5837,8/1/2019,524,63,50.85
336,-12.5103,131.4879,8/1/2019,525,64,53.35
19,-12.7061,134.4077,8/1/2019,57,64,40.85
292,-14.7061,126.7638,8/1/2019,524,91,72.05
221,-15.4227,130.4995,8/1/2019,524,91,72.15
296,-14.7013,126.732,8/1/2019,524,91,72.05
118,-30.8649,150.7103,8/1/2019,341,65,36.45
223,-15.4137,130.4806,8/1/2019,524,91,71.95
294,-14.6983,126.7522,8/1/2019,524,91,72.55
204,-15.5012,130.6593,8/1/2019,524,65,57.85
179,-33.3438,120.8919,8/1/2019,519,65,33.95
187,-22.9439,128.1919,8/1/2019,522,65,48.85
192,-20.7789,119.4428,8/1/2019,523,75,55.75
331,-12.4353,133.0819,8/1/2019,525,64,48.25
217,-15.4435,130.5206,8/1/2019,524,65,58.35
208,-15.5126,130.5914,8/1/2019,524,65,57.85
43,-14.3048,134.9182,8/1/2019,57,75,48.65
49,-15.7637,137.0728,8/1/2019,58,75,104.45
342,-11.6749,130.6672,8/1/2019,525,65,44.55
396,-12.977,132.9714,8/1/2019,1615,65,32.35
213,-15.4381,130.5266,8/1/2019,524,92,73.45
171,-14.8443,144.3396,8/1/2019,346,65,60.05
230,-15.2073,131.3123,8/1/2019,524,64,49.55
318,-11.4465,130.4676,8/1/2019,525,64,53.85
18,-12.7141,134.3991,8/1/2019,57,64,40.75
228,-16.09,126.005,8/1/2019,524,65,54.75
11,-11.5471,132.6538,8/1/2019,57,65,42.85
168,-14.8559,144.3411,8/1/2019,346,94,73.25
32,-12.463,141.8241,8/1/2019,57,51,43.85
99,-33.6976,117.2918,8/1/2019,241,54,29.85
185,-22.2687,124.8861,8/1/2019,522,95,79.25
41,-14.2726,135.0443,8/1/2019,57,62,41.15
310,-13.0241,132.9584,8/1/2019,524,82,58.75
212,-16.1747,125.996,8/1/2019,524,95,79.65
338,-12.4307,131.177,8/1/2019,525,82,57.65
288,-14.7357,126.7584,8/1/2019,524,96,80.85
74,-15.5059,130.623,8/1/2019,58,54,44.45
93,-34.082,116.7357,8/1/2019,241,62,32.75
91,-29.6694,116.5634,8/1/2019,240,62,32.45
174,-14.8488,144.3351,8/1/2019,346,95,76.05
108,-33.5541,147.8052,8/1/2019,340,62,32.45
143,-18.6816,145.7365,8/1/2019,345,61,37.25
222,-15.4109,130.4973,8/1/2019,524,96,80.05
240,-15.2049,131.3268,8/1/2019,524,61,47.95
181,-33.3014,120.9884,8/1/2019,519,51,30.35
86,-14.7213,126.7612,8/1/2019,236,61,42.05
109,-34.468,150.8807,8/1/2019,340,61,37.35
120,-31.8089,150.3822,8/1/2019,341,61,34.25
191,-22.2701,124.8758,8/1/2019,522,82,61.15
399,-11.421,130.4861,8/1/2019,1615,61,31.45
237,-16.0768,125.9061,8/1/2019,524,97,81.95
227,-15.393,130.4597,8/1/2019,524,61,55.75
392,-13.1196,132.922,8/1/2019,1615,63,32.05
417,-20.7922,119.449,8/1/2019,1755,54,30.15
63,-16.1479,136.6726,8/1/2019,58,95,76.15
335,-12.5449,131.1883,8/1/2019,525,63,45.35
391,-14.2292,130.7049,8/1/2019,1615,94,43.65
352,-11.6519,130.3385,8/1/2019,525,94,73.95
354,-11.4081,130.8389,8/1/2019,525,94,75.15
182,-33.7994,120.7996,8/1/2019,519,76,42.45
344,-11.6797,130.407,8/1/2019,525,51,56.55
275,-14.6525,130.6261,8/1/2019,524,94,76.65
165,-14.8715,144.408,8/1/2019,346,76,57.75
408,-15.7816,137.0067,8/1/2019,1616,82,38.15
133,-29.088,148.4866,8/1/2019,342,76,47.65
202,-15.511,130.562,8/1/2019,524,62,54.95
127,-30.9428,147.7031,8/1/2019,341,76,46.55
138,-19.4922,146.3912,8/1/2019,344,94,87.05
166,-14.8676,144.3426,8/1/2019,346,62,49.95
37,-13.2993,131.9598,8/1/2019,57,54,42.15
382,-13.5142,142.6452,8/1/2019,1311,62,31.65
260,-15.138,130.4098,8/1/2019,524,76,55.65
410,-16.1452,136.7267,8/1/2019,1616,62,31.65
239,-16.0796,125.8872,8/1/2019,524,76,57.75
268,-15.1615,129.9945,8/1/2019,524,76,56.25
411,-15.1785,129.9115,8/1/2019,1616,62,31.75
59,-15.1411,131.1486,8/1/2019,58,54,41.85
24,-13.3042,142.04,8/1/2019,57,76,45.45
346,-11.6703,130.3859,8/1/2019,525,91,68.35
148,-13.2325,142.0011,8/1/2019,346,83,54.95
189,-22.2659,124.9067,8/1/2019,522,74,55.15
266,-14.3102,134.9034,8/1/2019,524,69,48.45
36,-13.2394,131.9032,8/1/2019,57,72,45.95
39,-15.3551,142.3028,8/1/2019,57,72,46.55
20,-13.8656,141.9771,8/1/2019,57,69,42.55
8,-13.1654,141.9715,8/1/2019,57,72,44.05
25,-13.2236,141.9914,8/1/2019,57,69,52.15
122,-30.3403,147.721,8/1/2019,341,69,43.95
150,-13.5224,142.6336,8/1/2019,346,69,42.95
309,-13.3071,131.9554,8/1/2019,524,69,49.15
314,-11.4338,130.4654,8/1/2019,525,73,54.95
188,-22.2645,124.9169,8/1/2019,522,69,52.55
258,-14.938,131.8124,8/1/2019,524,73,58.25
145,-14.8529,144.3027,8/1/2019,346,88,61.75
200,-15.5052,130.5955,8/1/2019,524,85,64.25
270,-14.7478,130.6871,8/1/2019,524,73,55.45
315,-11.4306,130.4848,8/1/2019,525,88,64.65
312,-11.4124,130.8343,8/1/2019,525,73,49.55
261,-14.3146,134.9123,8/1/2019,524,68,47.75
265,-15.1621,129.9849,8/1/2019,524,85,64.45
256,-15.1955,130.3236,8/1/2019,524,68,51.35
390,-14.233,130.727,8/1/2019,1615,68,33.75
320,-11.4401,130.5067,8/1/2019,525,68,48.75
324,-11.4158,130.8133,8/1/2019,525,73,51.95
80,-32.2088,146.7257,8/1/2019,102,68,36.05
195,-20.7811,119.4219,8/1/2019,523,72,53.75
160,-15.0267,144.8179,8/1/2019,346,72,43.45
178,-33.7971,120.7667,8/1/2019,519,86,55.05
1,-11.7924,142.085,8/1/2019,56,71,46.15
45,-12.7613,142.1666,8/1/2019,57,71,46.05
340,-11.6877,130.6695,8/1/2019,525,71,46.15
295,-14.6998,126.7421,8/1/2019,524,85,65.25
326,-12.7842,133.8588,8/1/2019,525,52,43.05
139,-19.4995,146.4203,8/1/2019,344,86,67.35
147,-13.2352,141.9781,8/1/2019,346,70,51.55
113,-31.7949,148.4881,8/1/2019,341,87,60.45
110,-31.7148,151.0734,8/1/2019,341,85,53.85
40,-15.3658,142.3113,8/1/2019,57,85,56.05
361,-20.7398,139.4731,8/1/2019,1309,70,33.95
232,-16.0845,125.9169,8/1/2019,524,87,68.05
196,-15.1927,130.34,8/1/2019,524,70,52.45
42,-15.4778,142.5924,8/1/2019,57,70,41.15
57,-14.9422,131.8184,8/1/2019,58,70,45.15
243,-15.1529,131.1778,8/1/2019,524,87,66.45
33,-12.5567,141.8979,8/1/2019,57,88,63.35
12,-12.7626,142.1759,8/1/2019,57,88,62.05
190,-22.2673,124.8964,8/1/2019,522,88,68.35
291,-13.9856,131.224,8/1/2019,524,88,65.75
193,-20.7918,119.4444,8/1/2019,523,85,64.55
241,-15.2055,131.2469,8/1/2019,524,70,51.25
123,-30.413,148.553,8/1/2019,341,68,40.45
5,-12.6191,142.1998,8/1/2019,57,68,41.65
29,-12.4513,141.8071,8/1/2019,57,68,47.05
132,-28.0156,148.2017,8/1/2019,342,84,62.15
151,-13.6289,141.9563,8/1/2019,346,66,44.55
159,-15.038,144.8193,8/1/2019,346,66,42.05
235,-15.2051,131.252,8/1/2019,524,66,49.95
214,-15.441,130.5098,8/1/2019,524,91,72.15
137,-19.4815,146.3895,8/1/2019,344,52,44.65
247,-15.0231,131.7676,8/1/2019,524,74,55.15
252,-15.0928,131.0617,8/1/2019,524,74,53.95
229,-16.0914,125.9955,8/1/2019,524,83,64.15
15,-14.0539,142.3327,8/1/2019,57,52,42.85
129,-32.712,147.0259,8/1/2019,341,66,37.25
30,-12.4527,141.8162,8/1/2019,57,83,55.45
44,-14.308,134.9367,8/1/2019,57,66,42.95
225,-15.4019,130.4785,8/1/2019,524,74,55.55
105,-34.1502,116.3977,8/1/2019,241,91,64.65
170,-14.8598,144.3086,8/1/2019,346,91,68.05
280,-14.3185,130.6756,8/1/2019,524,74,52.75
306,-14.0032,129.9573,8/1/2019,524,74,52.95
311,-13.029,132.9311,8/1/2019,524,74,51.95
289,-14.7264,126.7568,8/1/2019,524,83,67.85
264,-15.1839,129.9258,8/1/2019,524,83,65.95
199,-15.5022,130.6125,8/1/2019,524,74,60.55
210,-15.4755,130.3795,8/1/2019,524,74,64.05
17,-12.7499,134.5251,8/1/2019,57,66,41.65
269,-15.1642,129.9779,8/1/2019,524,67,55.75
14,-13.1092,134.1848,8/1/2019,57,67,42.75
35,-13.2313,131.9106,8/1/2019,57,68,43.55
27,-13.2159,142.002,8/1/2019,57,52,52.35
153,-13.5872,142.6256,8/1/2019,346,68,42.95
162,-14.9914,144.9189,8/1/2019,346,68,47.55
47,-12.8782,132.9177,8/1/2019,57,53,39.45
224,-15.3556,130.7514,8/1/2019,524,53,53.95
65,-16.1545,136.7117,8/1/2019,58,89,66.15
53,-14.651,130.5884,8/1/2019,58,53,40.45
414,-15.1877,129.9285,8/1/2019,1616,73,34.65
219,-15.4345,130.5017,8/1/2019,524,53,55.45
297,-14.163,130.0316,8/1/2019,524,89,68.65
345,-11.6671,130.4048,8/1/2019,525,89,64.75
349,-11.6613,130.3596,8/1/2019,525,89,65.55
387,-11.4605,130.5216,8/1/2019,1312,89,42.65
333,-12.4379,133.0754,8/1/2019,525,84,60.55
348,-11.6582,130.3785,8/1/2019,525,84,59.25
226,-15.4047,130.4618,8/1/2019,524,53,52.05
262,-15.0855,130.5753,8/1/2019,524,84,63.25
273,-14.6675,130.6108,8/1/2019,524,84,67.75
183,-33.8013,120.7719,8/1/2019,519,90,62.85
215,-16.1643,126.004,8/1/2019,524,67,57.85
111,-31.7162,151.0615,8/1/2019,341,67,37.35
84,-14.6855,126.7699,8/1/2019,236,90,66.65
283,-14.2476,130.6929,8/1/2019,524,61,48.05
207,-15.5097,130.6084,8/1/2019,524,77,61.15
271,-14.6903,130.6577,8/1/2019,524,86,64.95
366,-14.7991,144.2823,8/1/2019,1311,100,47.85
89,-16.1692,125.9902,8/1/2019,236,56,39.65
234,-16.0873,125.8981,8/1/2019,524,59,50.85
254,-14.9462,131.8191,8/1/2019,524,51,55.15
34,-12.5581,141.9071,8/1/2019,57,56,45.05
21,-12.6491,134.3953,8/1/2019,57,79,51.75
330,-12.4504,133.0855,8/1/2019,525,99,84.65
134,-24.6606,151.3671,8/1/2019,343,78,54.75
121,-29.558,152.1505,8/1/2019,341,55,39.15
284,-14.3457,129.8308,8/1/2019,524,57,48.65
13,-12.705,133.907,8/1/2019,57,57,38.55
7,-14.3195,143.5198,8/1/2019,57,79,49.75
209,-15.4905,130.4331,8/1/2019,524,55,53.85
31,-12.544,142.4455,8/1/2019,57,57,44.45
413,-15.1737,129.9314,8/1/2019,1616,81,37.75
355,-11.4117,130.8179,8/1/2019,525,99,86.85
317,-11.4844,130.2392,8/1/2019,525,58,43.95
102,-34.1447,116.3721,8/1/2019,241,98,83.55
301,-14.6213,126.9118,8/1/2019,524,56,53.45
58,-15.7616,137.0603,8/1/2019,58,79,63.55
388,-32.4471,116.163,8/1/2019,1445,51,29.65
406,-14.2242,130.7007,8/1/2019,1615,77,36.25
385,-13.0233,132.9405,8/1/2019,1312,58,30.85
238,-16.0782,125.8966,8/1/2019,524,100,96.05
305,-13.9801,130.573,8/1/2019,524,81,58.35
412,-15.1826,129.9346,8/1/2019,1616,98,46.15
218,-15.4317,130.5184,8/1/2019,524,98,84.45
112,-31.7932,148.5045,8/1/2019,341,80,50.05
66,-16.1646,136.6428,8/1/2019,58,80,55.35
52,-15.7863,137.0816,8/1/2019,58,59,48.25
395,-13.0117,132.9653,8/1/2019,1615,57,31.75
156,-15.0828,144.9226,8/1/2019,346,51,36.25
169,-14.8579,144.3248,8/1/2019,346,99,85.75
278,-14.6462,130.5895,8/1/2019,524,100,100.85
303,-13.9893,130.5932,8/1/2019,524,77,54.95
135,-24.6682,151.3786,8/1/2019,343,81,55.05
117,-30.8634,150.7224,8/1/2019,341,59,35.35
304,-13.977,130.591,8/1/2019,524,78,55.35
23,-12.6703,142.1102,8/1/2019,57,78,49.25
369,-14.7942,144.3141,8/1/2019,1311,100,49.05
124,-30.8997,147.6905,8/1/2019,341,55,38.15
100,-34.0838,116.7459,8/1/2019,241,59,31.35
194,-20.7941,119.4234,8/1/2019,523,80,59.45
97,-33.7142,122.2123,8/1/2019,241,59,31.45
373,-15.3774,142.2995,8/1/2019,1311,59,31.45
368,-14.7958,144.3035,8/1/2019,1311,100,50.65
81,-14.6671,126.7783,8/1/2019,236,59,50.25
205,-15.5041,130.6423,8/1/2019,524,59,55.45
375,-12.5569,141.8909,8/1/2019,1311,81,37.45
233,-16.0859,125.9075,8/1/2019,524,79,59.95
367,-14.7974,144.2929,8/1/2019,1311,100,67.35
401,-15.7712,136.9987,8/1/2019,1615,100,53.55
104,-34.1486,116.3819,8/1/2019,241,100,129.15
365,-14.7879,144.2913,8/1/2019,1311,100,91.65
405,-14.2282,130.723,8/1/2019,1615,81,37.85
364,-14.7895,144.2807,8/1/2019,1311,100,91.15
322,-11.3993,130.832,8/1/2019,525,100,94.25
201,-15.5081,130.5788,8/1/2019,524,55,55.65
321,-11.4028,130.8109,8/1/2019,525,100,92.25
